2026-05-18 13:07: Experiment log path in: /root/data-tmp/zzh/SAMBA/saved_models/NYSE_BASIC/
2026-05-18 13:09: Train Epoch 42: 80/87 Loss: 0.182714
2026-05-18 13:09: **********Train Epoch 42: averaged Loss: 0.086529
2026-05-18 13:09: **********Val Epoch 42: average Loss: 0.165663
2026-05-18 13:09: Train Epoch 43: 0/87 Loss: 0.287356
2026-05-18 13:09: Train Epoch 43: 20/87 Loss: 0.038996
2026-05-18 13:09: Train Epoch 43: 40/87 Loss: 0.079037
2026-05-18 13:09: Train Epoch 43: 60/87 Loss: 0.020744
2026-05-18 13:10: Train Epoch 43: 80/87 Loss: 0.149370
2026-05-18 13:10: **********Train Epoch 43: averaged Loss: 0.089479
2026-05-18 13:10: **********Val Epoch 43: average Loss: 0.185742
2026-05-18 13:10: Train Epoch 44: 0/87 Loss: 0.294106
2026-05-18 13:10: Train Epoch 44: 20/87 Loss: 0.063988
2026-05-18 13:10: Train Epoch 44: 40/87 Loss: 0.095882
2026-05-18 13:10: Train Epoch 44: 60/87 Loss: 0.056629
2026-05-18 13:10: Train Epoch 44: 80/87 Loss: 0.092371
2026-05-18 13:10: **********Train Epoch 44: averaged Loss: 0.096593
2026-05-18 13:10: **********Val Epoch 44: average Loss: 0.210444
2026-05-18 13:10: Train Epoch 45: 0/87 Loss: 0.220619
2026-05-18 13:10: Train Epoch 45: 20/87 Loss: 0.037563
2026-05-18 13:10: Train Epoch 45: 40/87 Loss: 0.035803
2026-05-18 13:10: Train Epoch 45: 60/87 Loss: 0.074306
2026-05-18 13:10: Train Epoch 45: 80/87 Loss: 0.103191
2026-05-18 13:10: **********Train Epoch 45: averaged Loss: 0.080679
2026-05-18 13:10: **********Val Epoch 45: average Loss: 0.187060
2026-05-18 13:10: Train Epoch 46: 0/87 Loss: 0.220655
2026-05-18 13:10: Train Epoch 46: 20/87 Loss: 0.048460
2026-05-18 13:10: Train Epoch 46: 40/87 Loss: 0.026231
2026-05-18 13:10: Train Epoch 46: 60/87 Loss: 0.097729
2026-05-18 13:10: Train Epoch 46: 80/87 Loss: 0.121500
2026-05-18 13:10: **********Train Epoch 46: averaged Loss: 0.071004
2026-05-18 13:10: **********Val Epoch 46: average Loss: 0.184610
2026-05-18 13:10: Train Epoch 47: 0/87 Loss: 0.173183
2026-05-18 13:10: Train Epoch 47: 20/87 Loss: 0.046409
2026-05-18 13:10: Train Epoch 47: 40/87 Loss: 0.023877
2026-05-18 13:10: Train Epoch 47: 60/87 Loss: 0.006619
2026-05-18 13:10: Train Epoch 47: 80/87 Loss: 0.124845
2026-05-18 13:10: **********Train Epoch 47: averaged Loss: 0.059783
2026-05-18 13:10: **********Val Epoch 47: average Loss: 0.119101
2026-05-18 13:10: Train Epoch 48: 0/87 Loss: 0.154943
2026-05-18 13:10: Train Epoch 48: 20/87 Loss: 0.072539
2026-05-18 13:10: Train Epoch 48: 40/87 Loss: 0.015840
2026-05-18 13:10: Train Epoch 48: 60/87 Loss: 0.007966
2026-05-18 13:10: Train Epoch 48: 80/87 Loss: 0.108786
2026-05-18 13:10: **********Train Epoch 48: averaged Loss: 0.049234
2026-05-18 13:10: **********Val Epoch 48: average Loss: 0.138937
2026-05-18 13:10: Train Epoch 49: 0/87 Loss: 0.201793
2026-05-18 13:10: Train Epoch 49: 20/87 Loss: 0.009332
2026-05-18 13:10: Train Epoch 49: 40/87 Loss: 0.033584
2026-05-18 13:10: Train Epoch 49: 60/87 Loss: 0.041036
2026-05-18 13:10: Train Epoch 49: 80/87 Loss: 0.120614
2026-05-18 13:10: **********Train Epoch 49: averaged Loss: 0.057898
2026-05-18 13:10: **********Val Epoch 49: average Loss: 0.183994
2026-05-18 13:10: Train Epoch 50: 0/87 Loss: 0.118562
2026-05-18 13:10: Train Epoch 50: 20/87 Loss: 0.034600
2026-05-18 13:10: Train Epoch 50: 40/87 Loss: 0.011980
2026-05-18 13:10: Train Epoch 50: 60/87 Loss: 0.008481
2026-05-18 13:10: Train Epoch 50: 80/87 Loss: 0.159729
2026-05-18 13:10: **********Train Epoch 50: averaged Loss: 0.035313
2026-05-18 13:10: **********Val Epoch 50: average Loss: 0.113124
2026-05-18 13:10: Train Epoch 51: 0/87 Loss: 0.134531
2026-05-18 13:10: Train Epoch 51: 20/87 Loss: 0.068534
2026-05-18 13:10: Train Epoch 51: 40/87 Loss: 0.010924
2026-05-18 13:10: Train Epoch 51: 60/87 Loss: 0.024145
2026-05-18 13:10: Train Epoch 51: 80/87 Loss: 0.094864
2026-05-18 13:10: **********Train Epoch 51: averaged Loss: 0.037603
2026-05-18 13:10: **********Val Epoch 51: average Loss: 0.155173
2026-05-18 13:10: Train Epoch 52: 0/87 Loss: 0.161527
2026-05-18 13:10: Train Epoch 52: 20/87 Loss: 0.043098
2026-05-18 13:10: Train Epoch 52: 40/87 Loss: 0.008397
2026-05-18 13:10: Train Epoch 52: 60/87 Loss: 0.018484
2026-05-18 13:10: Train Epoch 52: 80/87 Loss: 0.088244
2026-05-18 13:10: **********Train Epoch 52: averaged Loss: 0.042093
2026-05-18 13:10: **********Val Epoch 52: average Loss: 0.091424
2026-05-18 13:10: Train Epoch 53: 0/87 Loss: 0.084780
2026-05-18 13:10: Train Epoch 53: 20/87 Loss: 0.013309
2026-05-18 13:10: Train Epoch 53: 40/87 Loss: 0.030736
2026-05-18 13:10: Train Epoch 53: 60/87 Loss: 0.004898
2026-05-18 13:10: Train Epoch 53: 80/87 Loss: 0.073498
2026-05-18 13:10: **********Train Epoch 53: averaged Loss: 0.030628
2026-05-18 13:10: **********Val Epoch 53: average Loss: 0.114074
2026-05-18 13:10: Train Epoch 54: 0/87 Loss: 0.058182
2026-05-18 13:10: Train Epoch 54: 20/87 Loss: 0.041835
2026-05-18 13:10: Train Epoch 54: 40/87 Loss: 0.028308
2026-05-18 13:10: Train Epoch 54: 60/87 Loss: 0.009885
2026-05-18 13:10: Train Epoch 54: 80/87 Loss: 0.047876
2026-05-18 13:10: **********Train Epoch 54: averaged Loss: 0.028714
2026-05-18 13:10: **********Val Epoch 54: average Loss: 0.121306
2026-05-18 13:10: Train Epoch 55: 0/87 Loss: 0.040053
2026-05-18 13:10: Train Epoch 55: 20/87 Loss: 0.026429
2026-05-18 13:10: Train Epoch 55: 40/87 Loss: 0.011325
2026-05-18 13:10: Train Epoch 55: 60/87 Loss: 0.016957
2026-05-18 13:10: Train Epoch 55: 80/87 Loss: 0.029503
2026-05-18 13:10: **********Train Epoch 55: averaged Loss: 0.018869
2026-05-18 13:10: **********Val Epoch 55: average Loss: 0.079177
2026-05-18 13:10: *********************************Current best model saved!
2026-05-18 13:10: Train Epoch 56: 0/87 Loss: 0.013865
2026-05-18 13:10: Train Epoch 56: 20/87 Loss: 0.029680
2026-05-18 13:10: Train Epoch 56: 40/87 Loss: 0.015222
2026-05-18 13:10: Train Epoch 56: 60/87 Loss: 0.009484
2026-05-18 13:10: Train Epoch 56: 80/87 Loss: 0.051101
2026-05-18 13:10: **********Train Epoch 56: averaged Loss: 0.021424
2026-05-18 13:10: **********Val Epoch 56: average Loss: 0.072011
2026-05-18 13:10: *********************************Current best model saved!
2026-05-18 13:10: Train Epoch 57: 0/87 Loss: 0.023994
