2026-04-20 21:33: Experiment log path in: ./saved_models/DJIA/
2026-04-20 21:35: **********Val Epoch 71: average Loss: 0.010475
2026-04-20 21:35: Train Epoch 72: 0/37 Loss: 0.045742
2026-04-20 21:35: Train Epoch 72: 20/37 Loss: 0.017354
2026-04-20 21:35: **********Train Epoch 72: averaged Loss: 0.023163
2026-04-20 21:35: **********Val Epoch 72: average Loss: 0.030935
2026-04-20 21:35: Train Epoch 73: 0/37 Loss: 0.028275
2026-04-20 21:35: Train Epoch 73: 20/37 Loss: 0.011192
2026-04-20 21:35: **********Train Epoch 73: averaged Loss: 0.026836
2026-04-20 21:35: **********Val Epoch 73: average Loss: 0.017680
2026-04-20 21:35: Train Epoch 74: 0/37 Loss: 0.019839
2026-04-20 21:35: Train Epoch 74: 20/37 Loss: 0.015672
2026-04-20 21:35: **********Train Epoch 74: averaged Loss: 0.022260
2026-04-20 21:35: **********Val Epoch 74: average Loss: 0.022168
2026-04-20 21:35: Train Epoch 75: 0/37 Loss: 0.034475
2026-04-20 21:35: Train Epoch 75: 20/37 Loss: 0.006850
2026-04-20 21:35: **********Train Epoch 75: averaged Loss: 0.024186
2026-04-20 21:35: **********Val Epoch 75: average Loss: 0.029621
2026-04-20 21:35: Train Epoch 76: 0/37 Loss: 0.014418
2026-04-20 21:36: Train Epoch 76: 20/37 Loss: 0.018958
2026-04-20 21:36: **********Train Epoch 76: averaged Loss: 0.025128
2026-04-20 21:36: **********Val Epoch 76: average Loss: 0.020052
2026-04-20 21:36: Train Epoch 77: 0/37 Loss: 0.073107
2026-04-20 21:36: Train Epoch 77: 20/37 Loss: 0.008475
2026-04-20 21:36: **********Train Epoch 77: averaged Loss: 0.043298
2026-04-20 21:36: **********Val Epoch 77: average Loss: 0.037696
2026-04-20 21:36: Train Epoch 78: 0/37 Loss: 0.025736
2026-04-20 21:36: Train Epoch 78: 20/37 Loss: 0.018754
2026-04-20 21:36: **********Train Epoch 78: averaged Loss: 0.023550
2026-04-20 21:36: **********Val Epoch 78: average Loss: 0.010295
2026-04-20 21:36: Train Epoch 79: 0/37 Loss: 0.100382
2026-04-20 21:36: Train Epoch 79: 20/37 Loss: 0.007927
2026-04-20 21:36: **********Train Epoch 79: averaged Loss: 0.030323
2026-04-20 21:36: **********Val Epoch 79: average Loss: 0.061048
2026-04-20 21:36: Train Epoch 80: 0/37 Loss: 0.135959
2026-04-20 21:36: Train Epoch 80: 20/37 Loss: 0.009653
2026-04-20 21:36: **********Train Epoch 80: averaged Loss: 0.044381
2026-04-20 21:36: **********Val Epoch 80: average Loss: 0.009115
2026-04-20 21:36: *********************************Current best model saved!
2026-04-20 21:36: Train Epoch 81: 0/37 Loss: 0.074285
2026-04-20 21:36: Train Epoch 81: 20/37 Loss: 0.035345
2026-04-20 21:36: **********Train Epoch 81: averaged Loss: 0.031084
2026-04-20 21:36: **********Val Epoch 81: average Loss: 0.017442
2026-04-20 21:36: Train Epoch 82: 0/37 Loss: 0.037578
2026-04-20 21:36: Train Epoch 82: 20/37 Loss: 0.013568
2026-04-20 21:36: **********Train Epoch 82: averaged Loss: 0.028408
2026-04-20 21:36: **********Val Epoch 82: average Loss: 0.044885
2026-04-20 21:36: Train Epoch 83: 0/37 Loss: 0.019382
2026-04-20 21:36: Train Epoch 83: 20/37 Loss: 0.007399
2026-04-20 21:36: **********Train Epoch 83: averaged Loss: 0.030100
2026-04-20 21:36: **********Val Epoch 83: average Loss: 0.051367
2026-04-20 21:36: Train Epoch 84: 0/37 Loss: 0.014801
2026-04-20 21:36: Train Epoch 84: 20/37 Loss: 0.015039
2026-04-20 21:36: **********Train Epoch 84: averaged Loss: 0.025585
2026-04-20 21:36: **********Val Epoch 84: average Loss: 0.016686
2026-04-20 21:36: Train Epoch 85: 0/37 Loss: 0.140959
2026-04-20 21:36: Train Epoch 85: 20/37 Loss: 0.018048
2026-04-20 21:36: **********Train Epoch 85: averaged Loss: 0.054317
2026-04-20 21:36: **********Val Epoch 85: average Loss: 0.055660
2026-04-20 21:36: Train Epoch 86: 0/37 Loss: 0.045314
2026-04-20 21:36: Train Epoch 86: 20/37 Loss: 0.007494
2026-04-20 21:36: **********Train Epoch 86: averaged Loss: 0.032599
2026-04-20 21:36: **********Val Epoch 86: average Loss: 0.021129
2026-04-20 21:36: Train Epoch 87: 0/37 Loss: 0.123022
2026-04-20 21:36: Train Epoch 87: 20/37 Loss: 0.052298
2026-04-20 21:36: **********Train Epoch 87: averaged Loss: 0.056708
2026-04-20 21:36: **********Val Epoch 87: average Loss: 0.061659
2026-04-20 21:36: Train Epoch 88: 0/37 Loss: 0.097042
2026-04-20 21:36: Train Epoch 88: 20/37 Loss: 0.008127
2026-04-20 21:36: **********Train Epoch 88: averaged Loss: 0.028386
2026-04-20 21:36: **********Val Epoch 88: average Loss: 0.029473
2026-04-20 21:36: Train Epoch 89: 0/37 Loss: 0.176281
2026-04-20 21:36: Train Epoch 89: 20/37 Loss: 0.046577
2026-04-20 21:36: **********Train Epoch 89: averaged Loss: 0.055724
2026-04-20 21:36: **********Val Epoch 89: average Loss: 0.018902
2026-04-20 21:36: Train Epoch 90: 0/37 Loss: 0.129020
2026-04-20 21:36: Train Epoch 90: 20/37 Loss: 0.033252
2026-04-20 21:36: **********Train Epoch 90: averaged Loss: 0.043783
2026-04-20 21:36: **********Val Epoch 90: average Loss: 0.015210
2026-04-20 21:36: Train Epoch 91: 0/37 Loss: 0.136216
2026-04-20 21:36: Train Epoch 91: 20/37 Loss: 0.074415
2026-04-20 21:36: **********Train Epoch 91: averaged Loss: 0.061024
2026-04-20 21:36: **********Val Epoch 91: average Loss: 0.037552
2026-04-20 21:36: Train Epoch 92: 0/37 Loss: 0.105642
2026-04-20 21:36: Train Epoch 92: 20/37 Loss: 0.015530
2026-04-20 21:36: **********Train Epoch 92: averaged Loss: 0.033697
2026-04-20 21:36: **********Val Epoch 92: average Loss: 0.025884
2026-04-20 21:36: Train Epoch 93: 0/37 Loss: 0.146433
2026-04-20 21:36: Train Epoch 93: 20/37 Loss: 0.032649
2026-04-20 21:36: **********Train Epoch 93: averaged Loss: 0.045611
2026-04-20 21:36: **********Val Epoch 93: average Loss: 0.024940
2026-04-20 21:36: Train Epoch 94: 0/37 Loss: 0.130744
2026-04-20 21:36: Train Epoch 94: 20/37 Loss: 0.009148
2026-04-20 21:36: **********Train Epoch 94: averaged Loss: 0.044400
2026-04-20 21:36: **********Val Epoch 94: average Loss: 0.014364
2026-04-20 21:36: Train Epoch 95: 0/37 Loss: 0.099493
2026-04-20 21:36: Train Epoch 95: 20/37 Loss: 0.010093
2026-04-20 21:36: **********Train Epoch 95: averaged Loss: 0.033182
2026-04-20 21:36: **********Val Epoch 95: average Loss: 0.030380
2026-04-20 21:36: Train Epoch 96: 0/37 Loss: 0.022516
2026-04-20 21:36: Train Epoch 96: 20/37 Loss: 0.015423
2026-04-20 21:36: **********Train Epoch 96: averaged Loss: 0.026009
2026-04-20 21:36: **********Val Epoch 96: average Loss: 0.030372
2026-04-20 21:36: Train Epoch 97: 0/37 Loss: 0.023554
2026-04-20 21:36: Train Epoch 97: 20/37 Loss: 0.008275
