2026-05-20 13:49: Experiment log path in: /root/data-tmp/zzh/SAMBA/SAMBA/saved_models/002129SZ_BASIC/
2026-05-20 13:52: Train Epoch 42: 60/71 Loss: 0.108104
2026-05-20 13:52: **********Train Epoch 42: averaged Loss: 0.067485
2026-05-20 13:52: **********Val Epoch 42: average Loss: 0.197357
2026-05-20 13:52: Train Epoch 43: 0/71 Loss: 0.049834
2026-05-20 13:52: Train Epoch 43: 20/71 Loss: 0.055799
2026-05-20 13:52: Train Epoch 43: 40/71 Loss: 0.115402
2026-05-20 13:52: Train Epoch 43: 60/71 Loss: 0.096837
2026-05-20 13:52: **********Train Epoch 43: averaged Loss: 0.082130
2026-05-20 13:52: **********Val Epoch 43: average Loss: 0.232787
2026-05-20 13:52: Train Epoch 44: 0/71 Loss: 0.029172
2026-05-20 13:52: Train Epoch 44: 20/71 Loss: 0.015877
2026-05-20 13:52: Train Epoch 44: 40/71 Loss: 0.123925
2026-05-20 13:52: Train Epoch 44: 60/71 Loss: 0.062171
2026-05-20 13:52: **********Train Epoch 44: averaged Loss: 0.065580
2026-05-20 13:52: **********Val Epoch 44: average Loss: 0.196485
2026-05-20 13:52: Train Epoch 45: 0/71 Loss: 0.087000
2026-05-20 13:52: Train Epoch 45: 20/71 Loss: 0.053258
2026-05-20 13:52: Train Epoch 45: 40/71 Loss: 0.117224
2026-05-20 13:52: Train Epoch 45: 60/71 Loss: 0.072735
2026-05-20 13:52: **********Train Epoch 45: averaged Loss: 0.082868
2026-05-20 13:52: **********Val Epoch 45: average Loss: 0.257638
2026-05-20 13:52: Train Epoch 46: 0/71 Loss: 0.013772
2026-05-20 13:52: Train Epoch 46: 20/71 Loss: 0.035242
2026-05-20 13:52: Train Epoch 46: 40/71 Loss: 0.090783
2026-05-20 13:52: Train Epoch 46: 60/71 Loss: 0.058026
2026-05-20 13:52: **********Train Epoch 46: averaged Loss: 0.067846
2026-05-20 13:52: **********Val Epoch 46: average Loss: 0.195883
2026-05-20 13:52: Train Epoch 47: 0/71 Loss: 0.007618
2026-05-20 13:52: Train Epoch 47: 20/71 Loss: 0.068492
2026-05-20 13:52: Train Epoch 47: 40/71 Loss: 0.101949
2026-05-20 13:52: Train Epoch 47: 60/71 Loss: 0.072480
2026-05-20 13:52: **********Train Epoch 47: averaged Loss: 0.076710
2026-05-20 13:52: **********Val Epoch 47: average Loss: 0.252407
2026-05-20 13:52: Train Epoch 48: 0/71 Loss: 0.013818
2026-05-20 13:52: Train Epoch 48: 20/71 Loss: 0.047378
2026-05-20 13:52: Train Epoch 48: 40/71 Loss: 0.071950
2026-05-20 13:52: Train Epoch 48: 60/71 Loss: 0.085636
2026-05-20 13:52: **********Train Epoch 48: averaged Loss: 0.073347
2026-05-20 13:52: **********Val Epoch 48: average Loss: 0.244358
2026-05-20 13:52: Train Epoch 49: 0/71 Loss: 0.053635
2026-05-20 13:52: Train Epoch 49: 20/71 Loss: 0.009622
2026-05-20 13:52: Train Epoch 49: 40/71 Loss: 0.131018
2026-05-20 13:52: Train Epoch 49: 60/71 Loss: 0.074651
2026-05-20 13:52: **********Train Epoch 49: averaged Loss: 0.076122
2026-05-20 13:52: **********Val Epoch 49: average Loss: 0.258832
2026-05-20 13:52: Train Epoch 50: 0/71 Loss: 0.018649
2026-05-20 13:52: Train Epoch 50: 20/71 Loss: 0.040661
2026-05-20 13:52: Train Epoch 50: 40/71 Loss: 0.073527
2026-05-20 13:52: Train Epoch 50: 60/71 Loss: 0.071172
2026-05-20 13:52: **********Train Epoch 50: averaged Loss: 0.067713
2026-05-20 13:52: **********Val Epoch 50: average Loss: 0.234089
2026-05-20 13:52: Train Epoch 51: 0/71 Loss: 0.026267
2026-05-20 13:52: Train Epoch 51: 20/71 Loss: 0.041053
2026-05-20 13:52: Train Epoch 51: 40/71 Loss: 0.102808
2026-05-20 13:52: Train Epoch 51: 60/71 Loss: 0.074315
2026-05-20 13:52: **********Train Epoch 51: averaged Loss: 0.073847
2026-05-20 13:52: **********Val Epoch 51: average Loss: 0.229953
2026-05-20 13:52: Train Epoch 52: 0/71 Loss: 0.026740
2026-05-20 13:52: Train Epoch 52: 20/71 Loss: 0.073670
2026-05-20 13:52: Train Epoch 52: 40/71 Loss: 0.103787
2026-05-20 13:52: Train Epoch 52: 60/71 Loss: 0.051790
2026-05-20 13:52: **********Train Epoch 52: averaged Loss: 0.069782
2026-05-20 13:52: **********Val Epoch 52: average Loss: 0.245458
2026-05-20 13:52: Train Epoch 53: 0/71 Loss: 0.086509
2026-05-20 13:52: Train Epoch 53: 20/71 Loss: 0.053125
2026-05-20 13:52: Train Epoch 53: 40/71 Loss: 0.158334
2026-05-20 13:52: Train Epoch 53: 60/71 Loss: 0.064791
2026-05-20 13:52: **********Train Epoch 53: averaged Loss: 0.070573
2026-05-20 13:52: **********Val Epoch 53: average Loss: 0.238042
2026-05-20 13:52: Train Epoch 54: 0/71 Loss: 0.009455
2026-05-20 13:52: Train Epoch 54: 20/71 Loss: 0.043649
2026-05-20 13:52: Train Epoch 54: 40/71 Loss: 0.122123
2026-05-20 13:52: Train Epoch 54: 60/71 Loss: 0.056765
2026-05-20 13:52: **********Train Epoch 54: averaged Loss: 0.070586
2026-05-20 13:52: **********Val Epoch 54: average Loss: 0.270790
2026-05-20 13:52: Train Epoch 55: 0/71 Loss: 0.009830
2026-05-20 13:52: Train Epoch 55: 20/71 Loss: 0.108845
2026-05-20 13:52: Train Epoch 55: 40/71 Loss: 0.059573
2026-05-20 13:52: Train Epoch 55: 60/71 Loss: 0.032700
2026-05-20 13:52: **********Train Epoch 55: averaged Loss: 0.060647
2026-05-20 13:52: **********Val Epoch 55: average Loss: 0.216865
2026-05-20 13:52: Train Epoch 56: 0/71 Loss: 0.054709
2026-05-20 13:52: Train Epoch 56: 20/71 Loss: 0.021320
2026-05-20 13:52: Train Epoch 56: 40/71 Loss: 0.086172
2026-05-20 13:52: Train Epoch 56: 60/71 Loss: 0.067004
2026-05-20 13:52: **********Train Epoch 56: averaged Loss: 0.071428
2026-05-20 13:52: **********Val Epoch 56: average Loss: 0.252527
2026-05-20 13:52: Train Epoch 57: 0/71 Loss: 0.025172
2026-05-20 13:52: Train Epoch 57: 20/71 Loss: 0.088981
2026-05-20 13:52: Train Epoch 57: 40/71 Loss: 0.123216
2026-05-20 13:52: Train Epoch 57: 60/71 Loss: 0.058381
2026-05-20 13:52: **********Train Epoch 57: averaged Loss: 0.071714
2026-05-20 13:52: **********Val Epoch 57: average Loss: 0.275975
2026-05-20 13:52: Train Epoch 58: 0/71 Loss: 0.020969
2026-05-20 13:52: Train Epoch 58: 20/71 Loss: 0.072095
2026-05-20 13:52: Train Epoch 58: 40/71 Loss: 0.070837
2026-05-20 13:53: Train Epoch 58: 60/71 Loss: 0.058845
2026-05-20 13:53: **********Train Epoch 58: averaged Loss: 0.068819
2026-05-20 13:53: **********Val Epoch 58: average Loss: 0.269184
2026-05-20 13:53: Train Epoch 59: 0/71 Loss: 0.016552
2026-05-20 13:53: Train Epoch 59: 20/71 Loss: 0.061267
2026-05-20 13:53: Train Epoch 59: 40/71 Loss: 0.050194
2026-05-20 13:53: Train Epoch 59: 60/71 Loss: 0.076063
2026-05-20 13:53: **********Train Epoch 59: averaged Loss: 0.063424
2026-05-20 13:53: **********Val Epoch 59: average Loss: 0.256576
2026-05-20 13:53: Train Epoch 60: 0/71 Loss: 0.042082
2026-05-20 13:53: Train Epoch 60: 20/71 Loss: 0.060818
2026-05-20 13:53: Train Epoch 60: 40/71 Loss: 0.144011
2026-05-20 13:53: Train Epoch 60: 60/71 Loss: 0.044240
2026-05-20 13:53: **********Train Epoch 60: averaged Loss: 0.072402
2026-05-20 13:53: **********Val Epoch 60: average Loss: 0.273301
2026-05-20 13:53: Train Epoch 61: 0/71 Loss: 0.016251
2026-05-20 13:53: Train Epoch 61: 20/71 Loss: 0.076649
2026-05-20 13:53: Train Epoch 61: 40/71 Loss: 0.094907
2026-05-20 13:53: Train Epoch 61: 60/71 Loss: 0.066785
2026-05-20 13:53: **********Train Epoch 61: averaged Loss: 0.062548
2026-05-20 13:53: **********Val Epoch 61: average Loss: 0.287282
2026-05-20 13:53: Train Epoch 62: 0/71 Loss: 0.018536
2026-05-20 13:53: Train Epoch 62: 20/71 Loss: 0.068963
2026-05-20 13:53: Train Epoch 62: 40/71 Loss: 0.055195
2026-05-20 13:53: Train Epoch 62: 60/71 Loss: 0.053677
2026-05-20 13:53: **********Train Epoch 62: averaged Loss: 0.064505
2026-05-20 13:53: **********Val Epoch 62: average Loss: 0.252227
2026-05-20 13:53: Train Epoch 63: 0/71 Loss: 0.031865
2026-05-20 13:53: Train Epoch 63: 20/71 Loss: 0.041347
2026-05-20 13:53: Train Epoch 63: 40/71 Loss: 0.076301
2026-05-20 13:53: Train Epoch 63: 60/71 Loss: 0.058634
2026-05-20 13:53: **********Train Epoch 63: averaged Loss: 0.061399
2026-05-20 13:53: **********Val Epoch 63: average Loss: 0.236789
2026-05-20 13:53: Train Epoch 64: 0/71 Loss: 0.011768
2026-05-20 13:53: Train Epoch 64: 20/71 Loss: 0.015345
2026-05-20 13:53: Train Epoch 64: 40/71 Loss: 0.093723
2026-05-20 13:53: Train Epoch 64: 60/71 Loss: 0.053131
2026-05-20 13:53: **********Train Epoch 64: averaged Loss: 0.065875
2026-05-20 13:53: **********Val Epoch 64: average Loss: 0.284455
2026-05-20 13:53: Train Epoch 65: 0/71 Loss: 0.011651
2026-05-20 13:53: Train Epoch 65: 20/71 Loss: 0.055477
2026-05-20 13:53: Train Epoch 65: 40/71 Loss: 0.087130
2026-05-20 13:53: Train Epoch 65: 60/71 Loss: 0.030006
2026-05-20 13:53: **********Train Epoch 65: averaged Loss: 0.062161
2026-05-20 13:53: **********Val Epoch 65: average Loss: 0.256579
2026-05-20 13:53: Train Epoch 66: 0/71 Loss: 0.004951
