2026-05-18 10:48: Experiment log path in: /root/data-tmp/zzh/SAMBA/saved_models/NYSE_82/
2026-05-18 10:51: **********Train Epoch 54: averaged Loss: 0.020367
2026-05-18 10:51: **********Val Epoch 54: average Loss: 0.100376
2026-05-18 10:51: *********************************Current best model saved!
2026-05-18 10:51: Train Epoch 55: 0/74 Loss: 0.008401
2026-05-18 10:51: Train Epoch 55: 20/74 Loss: 0.004986
2026-05-18 10:51: Train Epoch 55: 40/74 Loss: 0.032705
2026-05-18 10:51: Train Epoch 55: 60/74 Loss: 0.008899
2026-05-18 10:51: **********Train Epoch 55: averaged Loss: 0.022521
2026-05-18 10:51: **********Val Epoch 55: average Loss: 0.101942
2026-05-18 10:51: Train Epoch 56: 0/74 Loss: 0.137889
2026-05-18 10:51: Train Epoch 56: 20/74 Loss: 0.046363
2026-05-18 10:51: Train Epoch 56: 40/74 Loss: 0.023097
2026-05-18 10:51: Train Epoch 56: 60/74 Loss: 0.047865
2026-05-18 10:51: **********Train Epoch 56: averaged Loss: 0.045288
2026-05-18 10:51: **********Val Epoch 56: average Loss: 0.150063
2026-05-18 10:51: Train Epoch 57: 0/74 Loss: 0.142917
2026-05-18 10:51: Train Epoch 57: 20/74 Loss: 0.059103
2026-05-18 10:51: Train Epoch 57: 40/74 Loss: 0.008890
2026-05-18 10:51: Train Epoch 57: 60/74 Loss: 0.012317
2026-05-18 10:51: **********Train Epoch 57: averaged Loss: 0.037438
2026-05-18 10:51: **********Val Epoch 57: average Loss: 0.092179
2026-05-18 10:51: *********************************Current best model saved!
2026-05-18 10:51: Train Epoch 58: 0/74 Loss: 0.085354
2026-05-18 10:51: Train Epoch 58: 20/74 Loss: 0.016639
2026-05-18 10:51: Train Epoch 58: 40/74 Loss: 0.033241
2026-05-18 10:51: Train Epoch 58: 60/74 Loss: 0.011484
2026-05-18 10:51: **********Train Epoch 58: averaged Loss: 0.025101
2026-05-18 10:51: **********Val Epoch 58: average Loss: 0.106044
2026-05-18 10:51: Train Epoch 59: 0/74 Loss: 0.134658
2026-05-18 10:51: Train Epoch 59: 20/74 Loss: 0.023273
2026-05-18 10:51: Train Epoch 59: 40/74 Loss: 0.044055
2026-05-18 10:51: Train Epoch 59: 60/74 Loss: 0.030847
2026-05-18 10:51: **********Train Epoch 59: averaged Loss: 0.034570
2026-05-18 10:51: **********Val Epoch 59: average Loss: 0.159388
2026-05-18 10:51: Train Epoch 60: 0/74 Loss: 0.085446
2026-05-18 10:51: Train Epoch 60: 20/74 Loss: 0.003912
2026-05-18 10:51: Train Epoch 60: 40/74 Loss: 0.026241
2026-05-18 10:51: Train Epoch 60: 60/74 Loss: 0.020088
2026-05-18 10:51: **********Train Epoch 60: averaged Loss: 0.026012
2026-05-18 10:51: **********Val Epoch 60: average Loss: 0.096665
2026-05-18 10:51: Train Epoch 61: 0/74 Loss: 0.009193
2026-05-18 10:51: Train Epoch 61: 20/74 Loss: 0.005319
2026-05-18 10:51: Train Epoch 61: 40/74 Loss: 0.015136
2026-05-18 10:51: Train Epoch 61: 60/74 Loss: 0.024074
2026-05-18 10:51: **********Train Epoch 61: averaged Loss: 0.017556
2026-05-18 10:51: **********Val Epoch 61: average Loss: 0.077028
2026-05-18 10:51: *********************************Current best model saved!
2026-05-18 10:51: Train Epoch 62: 0/74 Loss: 0.068628
2026-05-18 10:51: Train Epoch 62: 20/74 Loss: 0.017890
2026-05-18 10:51: Train Epoch 62: 40/74 Loss: 0.020426
2026-05-18 10:51: Train Epoch 62: 60/74 Loss: 0.045807
2026-05-18 10:51: **********Train Epoch 62: averaged Loss: 0.021440
2026-05-18 10:51: **********Val Epoch 62: average Loss: 0.039848
2026-05-18 10:51: *********************************Current best model saved!
2026-05-18 10:51: Train Epoch 63: 0/74 Loss: 0.073432
2026-05-18 10:51: Train Epoch 63: 20/74 Loss: 0.004771
2026-05-18 10:52: Train Epoch 63: 40/74 Loss: 0.028568
2026-05-18 10:52: Train Epoch 63: 60/74 Loss: 0.054235
2026-05-18 10:52: **********Train Epoch 63: averaged Loss: 0.021730
2026-05-18 10:52: **********Val Epoch 63: average Loss: 0.034111
2026-05-18 10:52: *********************************Current best model saved!
2026-05-18 10:52: Train Epoch 64: 0/74 Loss: 0.017850
2026-05-18 10:52: Train Epoch 64: 20/74 Loss: 0.003096
2026-05-18 10:52: Train Epoch 64: 40/74 Loss: 0.027898
2026-05-18 10:52: Train Epoch 64: 60/74 Loss: 0.031043
2026-05-18 10:52: **********Train Epoch 64: averaged Loss: 0.015796
2026-05-18 10:52: **********Val Epoch 64: average Loss: 0.076881
2026-05-18 10:52: Train Epoch 65: 0/74 Loss: 0.006841
2026-05-18 10:52: Train Epoch 65: 20/74 Loss: 0.024902
2026-05-18 10:52: Train Epoch 65: 40/74 Loss: 0.031502
2026-05-18 10:52: Train Epoch 65: 60/74 Loss: 0.025477
2026-05-18 10:52: **********Train Epoch 65: averaged Loss: 0.018013
2026-05-18 10:52: **********Val Epoch 65: average Loss: 0.061698
