2026-04-27 13:09: Experiment log path in: ./saved_models/NASDAQ/
2026-04-27 13:13: Train Epoch 58: 60/74 Loss: 0.018020
2026-04-27 13:13: **********Train Epoch 58: averaged Loss: 0.043318
2026-04-27 13:13: **********Val Epoch 58: average Loss: 0.012520
2026-04-27 13:13: *********************************Current best model saved!
2026-04-27 13:13: Train Epoch 59: 0/74 Loss: 0.170927
2026-04-27 13:13: Train Epoch 59: 20/74 Loss: 0.017581
2026-04-27 13:13: Train Epoch 59: 40/74 Loss: 0.018370
2026-04-27 13:13: Train Epoch 59: 60/74 Loss: 0.041723
2026-04-27 13:13: **********Train Epoch 59: averaged Loss: 0.046903
2026-04-27 13:13: **********Val Epoch 59: average Loss: 0.013298
2026-04-27 13:13: Train Epoch 60: 0/74 Loss: 0.117730
2026-04-27 13:13: Train Epoch 60: 20/74 Loss: 0.017917
2026-04-27 13:13: Train Epoch 60: 40/74 Loss: 0.037867
2026-04-27 13:13: Train Epoch 60: 60/74 Loss: 0.031073
2026-04-27 13:13: **********Train Epoch 60: averaged Loss: 0.035724
2026-04-27 13:13: **********Val Epoch 60: average Loss: 0.086488
2026-04-27 13:13: Train Epoch 61: 0/74 Loss: 0.110508
2026-04-27 13:13: Train Epoch 61: 20/74 Loss: 0.031338
2026-04-27 13:13: Train Epoch 61: 40/74 Loss: 0.013545
2026-04-27 13:13: Train Epoch 61: 60/74 Loss: 0.048432
2026-04-27 13:13: **********Train Epoch 61: averaged Loss: 0.040246
2026-04-27 13:13: **********Val Epoch 61: average Loss: 0.063701
2026-04-27 13:13: Train Epoch 62: 0/74 Loss: 0.254037
2026-04-27 13:13: Train Epoch 62: 20/74 Loss: 0.006268
2026-04-27 13:13: Train Epoch 62: 40/74 Loss: 0.012868
2026-04-27 13:13: Train Epoch 62: 60/74 Loss: 0.033208
2026-04-27 13:13: **********Train Epoch 62: averaged Loss: 0.060169
2026-04-27 13:13: **********Val Epoch 62: average Loss: 0.034581
2026-04-27 13:13: Train Epoch 63: 0/74 Loss: 0.065548
2026-04-27 13:13: Train Epoch 63: 20/74 Loss: 0.007564
2026-04-27 13:13: Train Epoch 63: 40/74 Loss: 0.027179
2026-04-27 13:13: Train Epoch 63: 60/74 Loss: 0.054366
2026-04-27 13:13: **********Train Epoch 63: averaged Loss: 0.018673
2026-04-27 13:13: **********Val Epoch 63: average Loss: 0.032268
2026-04-27 13:13: Train Epoch 64: 0/74 Loss: 0.091080
2026-04-27 13:13: Train Epoch 64: 20/74 Loss: 0.012911
2026-04-27 13:13: Train Epoch 64: 40/74 Loss: 0.023871
2026-04-27 13:13: Train Epoch 64: 60/74 Loss: 0.038709
2026-04-27 13:13: **********Train Epoch 64: averaged Loss: 0.024309
2026-04-27 13:13: **********Val Epoch 64: average Loss: 0.016583
2026-04-27 13:13: Train Epoch 65: 0/74 Loss: 0.049827
2026-04-27 13:13: Train Epoch 65: 20/74 Loss: 0.002731
2026-04-27 13:13: Train Epoch 65: 40/74 Loss: 0.037494
2026-04-27 13:13: Train Epoch 65: 60/74 Loss: 0.039517
2026-04-27 13:13: **********Train Epoch 65: averaged Loss: 0.019251
2026-04-27 13:13: **********Val Epoch 65: average Loss: 0.056447
2026-04-27 13:13: Train Epoch 66: 0/74 Loss: 0.098379
2026-04-27 13:14: Train Epoch 66: 20/74 Loss: 0.018899
2026-04-27 13:14: Train Epoch 66: 40/74 Loss: 0.048223
2026-04-27 13:14: Train Epoch 66: 60/74 Loss: 0.014172
2026-04-27 13:14: **********Train Epoch 66: averaged Loss: 0.032753
